1,1991-04-08,15243,44893,qyqnozp,-274236.88,iwstbyn,false
2,2020-09-22,99337,130583,onpsxtkt,-9415.40,kuhktm,true
3,2029-06-24,96240,460253,gqjhpz,147602.11,ntb,false
4,2021-02-15,79917,318160,qjeknmri,181740.52,tetwkszb,false
5,2052-09-18,22894,365065,kwfxja,309742.25,ryuaz,true
6,1969-08-10,68386,470777,cfipvzo,-291423.13,cyhwg,false
7,2030-06-30,79094,249481,htxeh,-342502.61,hjpdfu,true
8,1980-05-08,29588,364185,pnfq,67074.62,buxurcx,true
9,2006-01-21,42227,135408,xbpifc,-219177.44,nespsb,false
10,2000-09-13,28660,339522,txq,-212378.80,mgm,true
11,2003-07-24,52657,352159,dkv,105868.98,ahqqzgrh,false
12,2048-03-09,37424,267181,jbc,35203.12,vel,false
13,1973-12-04,38284,98074,jpcyum,79184.07,sbnwkif,true
14,2049-06-26,4019,194109,xapgp,-296046.01,jadwxfzc,true
15,2052-09-18,87468,70054,tovdz,-31011.38,uim,false
16,2054-10-09,40032,113436,zxiiampx,-5955.69,wanap,true
17,2036-09-15,82365,334435,yvomc,-210731.57,kjrqlws,false
18,2059-03-08,74701,43548,gacscvl,-143658.98,ifkcb,false
19,2037-05-09,45056,1787,qlugncdc,-334125.52,fllzlocy,false
20,2015-11-22,16948,34445,vjycl,313283.49,xebbg,false
21,1983-05-17,31710,44879,ndqui,154957.05,esumy,true
22,2037-12-28,13528,355781,kfnya,97856.59,gaz,true
23,2027-03-21,834,389898,udmxeor,-293043.54,ybxzmyg,false
24,2007-05-21,78678,409198,hwspzkjt,141038.12,syau,true
25,2066-05-10,56796,4137,nltaet,-240223.17,qule,false
26,2062-07-22,5828,173990,eio,3228.73,eechwcx,true
27,2066-11-14,15483,394439,jnugvyqg,-152127.89,giklo,true
28,2058-11-28,39018,231142,jnkivy,248772.73,enca,true
29,2041-07-22,61661,125087,fonhdyzp,47172.75,yjk,false
30,1978-08-06,81381,297286,ebay,-248852.85,auuirq,false
31,2012-12-26,71313,205774,qxsdq,-252357.53,bwctnvxy,true
32,2003-10-22,33514,301042,zjhgv,243791.54,blvqg,false
33,2059-06-30,14850,241248,htiheldw,-188903.01,csk,true
34,2059-03-04,74497,217215,hhlcfqmt,-19401.88,htrn,true
35,2004-05-04,64447,312583,iwgv,148002.61,rzrph,false
36,2016-09-03,41957,473221,ecntcwcw,-245263.52,yapjad,false
37,2064-04-22,48084,269352,igziurhj,313400.78,oppgguh,true
38,1981-08-11,74051,484391,yht,-120960.25,weaddz,false
39,1977-03-11,10459,281420,spskw,337385.56,tpsvx,true
40,2066-02-03,69833,498388,nzwoqjj,145980.29,ktglxu,false
41,2052-07-21,40771,426823,huryllzb,310281.91,ifvqoltc,true
42,1983-05-02,88346,121851,bimnirsa,-205302.27,jcgwlrx,true
43,1984-07-17,1892,247700,ikvbetz,-98321.79,vsb,false
